date,order_count
2023-01-01,
2023-01-02,1500.0
2023-01-03,50.0
2023-01-04,163.0
2023-01-05,145.0
2023-01-06,224.0
2023-01-07,308.0
2023-01-08,225.0
2023-01-09,2000.0
2023-01-10,135.0
2023-01-11,214.0
2023-01-12,
2023-01-13,
2023-01-14,280.0
2023-01-15,
2023-01-16,246.0
2023-01-17,162.0
2023-01-18,126.0
2023-01-19,178.0
2023-01-20,197.0
2023-01-21,218.0
2023-01-22,287.0
2023-01-23,216.0
2023-01-24,196.0
2023-01-25,150.0
2023-01-26,
2023-01-27,268.0
2023-01-28,279.0
2023-01-29,210.0
2023-01-30,241.0
2023-01-31,213.0
