date,order_count
2023-07-01,511.0
2023-07-02,573.0
2023-07-03,292.0
2023-07-04,298.0
2023-07-05,285.0
2023-07-06,246.0
2023-07-07,311.0
2023-07-08,484.0
2023-07-09,490.0
2023-07-10,460.0
2023-07-11,266.0
2023-07-12,282.0
2023-07-13,228.0
2023-07-14,471.0
2023-07-15,450.0
2023-07-16,493.0
2023-07-17,424.0
2023-07-18,347.0
2023-07-19,249.0
2023-07-20,314.0
2023-07-21,376.0
2023-07-22,579.0
2023-07-23,384.0
2023-07-24,441.0
2023-07-25,296.0
2023-07-26,293.0
2023-07-27,282.0
2023-07-28,447.0
2023-07-29,450.0
2023-07-30,
2023-07-31,436.0
2023-08-01,319.0
2023-08-02,299.0
2023-08-03,228.0
2023-08-04,311.0
2023-08-05,305.0
2023-08-06,452.0
2023-08-07,288.0
2023-08-08,200.0
2023-08-09,321.0
2023-08-10,299.0
2023-08-11,339.0
2023-08-12,
2023-08-13,264.0
2023-08-14,401.0
2023-08-15,236.0
2023-08-16,276.0
2023-08-17,164.0
2023-08-18,399.0
2023-08-19,359.0
2023-08-20,320.0
2023-08-21,326.0
2023-08-22,234.0
2023-08-23,297.0
2023-08-24,239.0
2023-08-25,407.0
2023-08-26,412.0
2023-08-27,444.0
2023-08-28,334.0
2023-08-29,297.0
2023-08-30,205.0
2023-08-31,251.0
2023-09-01,309.0
2023-09-02,461.0
2023-09-03,465.0
2023-09-04,324.0
2023-09-05,195.0
2023-09-06,256.0
2023-09-07,180.0
2023-09-08,395.0
2023-09-09,343.0
2023-09-10,
2023-09-11,281.0
2023-09-12,202.0
2023-09-13,258.0
2023-09-14,226.0
2023-09-15,309.0
2023-09-16,303.0
2023-09-17,400.0
2023-09-18,346.0
2023-09-19,219.0
2023-09-20,267.0
2023-09-21,220.0
2023-09-22,331.0
2023-09-23,260.0
2023-09-24,360.0
2023-09-25,280.0
2023-09-26,223.0
2023-09-27,220.0
2023-09-28,219.0
2023-09-29,312.0
2023-09-30,303.0
2023-10-01,357.0
2023-10-02,333.0
2023-10-03,165.0
2023-10-04,184.0
2023-10-05,184.0
2023-10-06,230.0
2023-10-07,296.0
2023-10-08,366.0
2023-10-09,329.0
2023-10-10,205.0
2023-10-11,191.0
2023-10-12,224.0
2023-10-13,171.0
2023-10-14,258.0
2023-10-15,199.0
2023-10-16,219.0
2023-10-17,172.0
2023-10-18,236.0
2023-10-19,113.0
2023-10-20,239.0
2023-10-21,323.0
2023-10-22,312.0
2023-10-23,306.0
2023-10-24,192.0
2023-10-25,197.0
2023-10-26,134.0
2023-10-27,209.0
2023-10-28,209.0
2023-10-29,308.0
2023-10-30,255.0
2023-10-31,189.0
2023-11-01,156.0
2023-11-02,153.0
2023-11-03,245.0
2023-11-04,248.0
2023-11-05,233.0
2023-11-06,216.0
2023-11-07,158.0
2023-11-08,152.0
2023-11-09,142.0
2023-11-10,246.0
2023-11-11,
2023-11-12,265.0
2023-11-13,235.0
2023-11-14,184.0
2023-11-15,179.0
2023-11-16,147.0
2023-11-17,282.0
2023-11-18,231.0
2023-11-19,285.0
2023-11-20,239.0
2023-11-21,117.0
2023-11-22,156.0
2023-11-23,166.0
2023-11-24,223.0
2023-11-25,266.0
2023-11-26,282.0
2023-11-27,217.0
2023-11-28,171.0
2023-11-29,161.0
2023-11-30,137.0
2023-12-01,216.0
2023-12-02,
2023-12-03,291.0
2023-12-04,230.0
2023-12-05,192.0
2023-12-06,169.0
2023-12-07,180.0
2023-12-08,242.0
2023-12-09,239.0
2023-12-10,273.0
2023-12-11,181.0
2023-12-12,166.0
2023-12-13,172.0
2023-12-14,183.0
2023-12-15,236.0
2023-12-16,284.0
2023-12-17,241.0
2023-12-18,199.0
2023-12-19,151.0
2023-12-20,164.0
2023-12-21,115.0
2023-12-22,252.0
2023-12-23,247.0
2023-12-24,230.0
2023-12-25,131.0
2023-12-26,157.0
2023-12-27,153.0
2023-12-28,137.0
2023-12-29,190.0
2023-12-30,246.0
2023-12-31,225.0
