date,precipitation_mm
2023-06-01,0.0
2023-06-02,0.0
2023-06-03,0.0
2023-06-04,0.0
2023-06-05,9.2
2023-06-06,0.0
2023-06-07,0.0
2023-06-08,0.0
2023-06-09,2.9
2023-06-10,0.0
2023-06-11,0.0
2023-06-12,0.0
2023-06-13,4.6
2023-06-14,20.2
2023-06-15,0.0
2023-06-16,1.9
2023-06-17,0.0
2023-06-18,19.1
2023-06-19,2.9
2023-06-20,0.0
2023-06-21,2.8
2023-06-22,0.0
2023-06-23,0.0
2023-06-24,1.7
2023-06-25,0.0
2023-06-26,0.0
2023-06-27,0.0
2023-06-28,0.0
2023-06-29,4.0
2023-06-30,0.0
2023-07-01,0.4
2023-07-02,0.0
2023-07-03,0.9
2023-07-04,2.3
2023-07-05,19.4
2023-07-06,0.0
2023-07-07,0.0
2023-07-08,0.0
2023-07-09,0.0
2023-07-10,3.4
2023-07-11,0.0
2023-07-12,0.0
2023-07-13,
2023-07-14,0.0
2023-07-15,0.0
2023-07-16,9.6
2023-07-17,0.8
2023-07-18,0.0
2023-07-19,4.3
2023-07-20,4.9
2023-07-21,0.0
2023-07-22,0.6
2023-07-23,0.0
2023-07-24,0.0
2023-07-25,0.0
2023-07-26,0.0
2023-07-27,0.0
2023-07-28,0.0
2023-07-29,22.5
2023-07-30,0.0
2023-07-31,1.0
2023-08-01,0.0
2023-08-02,22.9
2023-08-03,1.9
2023-08-04,0.0
2023-08-05,0.0
2023-08-06,0.0
2023-08-07,
2023-08-08,
2023-08-09,0.0
2023-08-10,17.8
2023-08-11,0.0
2023-08-12,0.0
2023-08-13,0.0
2023-08-14,0.0
2023-08-15,1.6
2023-08-16,1.4
2023-08-17,0.0
2023-08-18,0.0
2023-08-19,0.0
2023-08-20,67.5
2023-08-21,0.0
2023-08-22,0.0
2023-08-23,0.0
2023-08-24,1.6
2023-08-25,0.3
2023-08-26,10.0
2023-08-27,0.0
2023-08-28,0.0
2023-08-29,0.0
2023-08-30,0.0
2023-08-31,0.0
2023-09-01,0.0
2023-09-02,0.8
2023-09-03,0.0
2023-09-04,0.0
2023-09-05,4.7
2023-09-06,0.0
2023-09-07,17.2
2023-09-08,0.4
2023-09-09,0.0
2023-09-10,17.2
2023-09-11,0.0
2023-09-12,0.0
2023-09-13,0.0
2023-09-14,0.0
2023-09-15,0.0
2023-09-16,0.0
2023-09-17,17.9
2023-09-18,1.7
2023-09-19,0.0
2023-09-20,0.0
2023-09-21,0.0
2023-09-22,2.1
2023-09-23,4.4
2023-09-24,0.8
2023-09-25,11.3
2023-09-26,0.0
2023-09-27,0.0
2023-09-28,0.0
2023-09-29,
2023-09-30,0.0
2023-10-01,0.6
2023-10-02,0.0
2023-10-03,0.0
2023-10-04,0.0
2023-10-05,0.0
2023-10-06,0.0
2023-10-07,0.0
2023-10-08,
2023-10-09,0.0
2023-10-10,0.0
2023-10-11,0.0
2023-10-12,0.0
2023-10-13,0.0
2023-10-14,0.0
2023-10-15,0.0
2023-10-16,0.0
2023-10-17,27.1
2023-10-18,0.0
2023-10-19,0.0
2023-10-20,0.0
2023-10-21,0.6
2023-10-22,0.0
2023-10-23,0.0
2023-10-24,0.0
2023-10-25,3.9
2023-10-26,
2023-10-27,0.0
2023-10-28,0.0
2023-10-29,0.0
2023-10-30,0.0
2023-10-31,0.0
2023-11-01,0.0
2023-11-02,0.0
2023-11-03,
2023-11-04,0.0
2023-11-05,0.0
2023-11-06,0.0
2023-11-07,
2023-11-08,0.0
2023-11-09,10.4
2023-11-10,0.0
2023-11-11,0.0
2023-11-12,0.0
2023-11-13,0.0
2023-11-14,0.0
2023-11-15,0.0
2023-11-16,0.0
2023-11-17,0.0
2023-11-18,0.0
2023-11-19,0.0
2023-11-20,26.1
2023-11-21,0.0
2023-11-22,0.0
2023-11-23,0.0
2023-11-24,0.0
2023-11-25,0.0
2023-11-26,0.0
2023-11-27,0.0
2023-11-28,
2023-11-29,0.0
2023-11-30,0.0
