date,order_count
2023-01-01,224.0
2023-01-02,197.0
2023-01-03,170.0
2023-01-04,150.0
2023-01-05,130.0
2023-01-06,179.0
2023-01-07,270.0
2023-01-08,200.0
2023-01-09,261.0
2023-01-10,145.0
2023-01-11,177.0
2023-01-12,147.0
2023-01-13,188.0
2023-01-14,264.0
2023-01-15,296.0
2023-01-16,212.0
2023-01-17,
2023-01-18,186.0
2023-01-19,187.0
2023-01-20,221.0
2023-01-21,243.0
2023-01-22,265.0
2023-01-23,219.0
2023-01-24,178.0
2023-01-25,140.0
2023-01-26,178.0
2023-01-27,
2023-01-28,304.0
2023-01-29,242.0
2023-01-30,209.0
2023-01-31,186.0
2023-02-01,176.0
2023-02-02,236.0
2023-02-03,178.0
2023-02-04,281.0
2023-02-05,325.0
2023-02-06,219.0
2023-02-07,156.0
2023-02-08,158.0
2023-02-09,138.0
2023-02-10,293.0
2023-02-11,272.0
2023-02-12,268.0
2023-02-13,169.0
2023-02-14,147.0
2023-02-15,229.0
2023-02-16,197.0
2023-02-17,297.0
2023-02-18,343.0
2023-02-19,253.0
2023-02-20,
2023-02-21,250.0
2023-02-22,178.0
2023-02-23,91.0
2023-02-24,248.0
2023-02-25,319.0
2023-02-26,283.0
2023-02-27,258.0
2023-02-28,176.0
2023-03-01,230.0
2023-03-02,
2023-03-03,311.0
2023-03-04,378.0
2023-03-05,217.0
2023-03-06,245.0
2023-03-07,189.0
2023-03-08,291.0
2023-03-09,216.0
2023-03-10,318.0
2023-03-11,238.0
2023-03-12,341.0
2023-03-13,330.0
2023-03-14,245.0
2023-03-15,238.0
2023-03-16,220.0
2023-03-17,297.0
2023-03-18,257.0
2023-03-19,300.0
2023-03-20,309.0
2023-03-21,201.0
2023-03-22,250.0
2023-03-23,243.0
2023-03-24,367.0
2023-03-25,409.0
2023-03-26,371.0
2023-03-27,344.0
2023-03-28,268.0
2023-03-29,216.0
2023-03-30,224.0
2023-03-31,311.0
2023-04-01,343.0
2023-04-02,428.0
2023-04-03,290.0
2023-04-04,286.0
2023-04-05,229.0
2023-04-06,261.0
2023-04-07,334.0
2023-04-08,326.0
2023-04-09,383.0
2023-04-10,347.0
2023-04-11,246.0
2023-04-12,200.0
2023-04-13,315.0
2023-04-14,341.0
2023-04-15,347.0
2023-04-16,492.0
2023-04-17,372.0
2023-04-18,210.0
2023-04-19,217.0
2023-04-20,250.0
2023-04-21,361.0
2023-04-22,443.0
2023-04-23,464.0
2023-04-24,378.0
2023-04-25,
2023-04-26,269.0
2023-04-27,235.0
2023-04-28,355.0
2023-04-29,411.0
2023-04-30,256.0
2023-05-01,328.0
2023-05-02,282.0
2023-05-03,253.0
2023-05-04,245.0
2023-05-05,413.0
2023-05-06,366.0
2023-05-07,471.0
2023-05-08,293.0
2023-05-09,389.0
2023-05-10,267.0
2023-05-11,264.0
2023-05-12,434.0
2023-05-13,406.0
2023-05-14,529.0
2023-05-15,394.0
2023-05-16,275.0
2023-05-17,272.0
2023-05-18,
2023-05-19,389.0
2023-05-20,469.0
2023-05-21,477.0
2023-05-22,386.0
2023-05-23,307.0
2023-05-24,280.0
2023-05-25,284.0
2023-05-26,318.0
2023-05-27,466.0
2023-05-28,331.0
2023-05-29,400.0
2023-05-30,276.0
2023-05-31,305.0
2023-06-01,243.0
2023-06-02,263.0
2023-06-03,427.0
2023-06-04,380.0
2023-06-05,284.0
2023-06-06,324.0
2023-06-07,361.0
2023-06-08,256.0
2023-06-09,384.0
2023-06-10,432.0
2023-06-11,409.0
2023-06-12,428.0
2023-06-13,336.0
2023-06-14,254.0
2023-06-15,294.0
2023-06-16,465.0
2023-06-17,502.0
2023-06-18,512.0
2023-06-19,470.0
2023-06-20,352.0
2023-06-21,338.0
2023-06-22,299.0
2023-06-23,368.0
2023-06-24,462.0
2023-06-25,418.0
2023-06-26,275.0
2023-06-27,280.0
2023-06-28,308.0
2023-06-29,266.0
2023-06-30,377.0
2023-07-01,443.0
2023-07-02,545.0
2023-07-03,367.0
2023-07-04,350.0
2023-07-05,172.0
2023-07-06,349.0
2023-07-07,461.0
2023-07-08,511.0
2023-07-09,314.0
2023-07-10,444.0
2023-07-11,286.0
2023-07-12,179.0
2023-07-13,343.0
2023-07-14,465.0
2023-07-15,318.0
2023-07-16,457.0
2023-07-17,460.0
2023-07-18,
2023-07-19,320.0
2023-07-20,171.0
2023-07-21,419.0
2023-07-22,425.0
2023-07-23,504.0
2023-07-24,390.0
2023-07-25,280.0
2023-07-26,307.0
2023-07-27,272.0
2023-07-28,370.0
2023-07-29,396.0
2023-07-30,327.0
2023-07-31,400.0
2023-08-01,242.0
2023-08-02,267.0
2023-08-03,286.0
2023-08-04,251.0
2023-08-05,306.0
2023-08-06,404.0
2023-08-07,386.0
2023-08-08,300.0
2023-08-09,205.0
2023-08-10,294.0
2023-08-11,343.0
2023-08-12,360.0
2023-08-13,373.0
2023-08-14,395.0
2023-08-15,275.0
2023-08-16,265.0
2023-08-17,271.0
2023-08-18,396.0
2023-08-19,398.0
2023-08-20,406.0
2023-08-21,402.0
2023-08-22,244.0
2023-08-23,279.0
2023-08-24,235.0
2023-08-25,317.0
2023-08-26,387.0
2023-08-27,422.0
2023-08-28,394.0
2023-08-29,253.0
2023-08-30,192.0
2023-08-31,271.0
2023-09-01,449.0
2023-09-02,387.0
2023-09-03,282.0
2023-09-04,332.0
2023-09-05,242.0
2023-09-06,237.0
2023-09-07,273.0
2023-09-08,383.0
2023-09-09,407.0
2023-09-10,360.0
2023-09-11,366.0
2023-09-12,181.0
2023-09-13,208.0
2023-09-14,210.0
2023-09-15,306.0
2023-09-16,383.0
2023-09-17,344.0
2023-09-18,261.0
2023-09-19,259.0
2023-09-20,216.0
2023-09-21,227.0
2023-09-22,321.0
2023-09-23,346.0
2023-09-24,344.0
2023-09-25,337.0
2023-09-26,222.0
2023-09-27,244.0
2023-09-28,233.0
2023-09-29,372.0
2023-09-30,351.0
2023-10-01,361.0
2023-10-02,327.0
2023-10-03,211.0
2023-10-04,188.0
2023-10-05,192.0
2023-10-06,256.0
2023-10-07,273.0
2023-10-08,332.0
2023-10-09,245.0
2023-10-10,208.0
2023-10-11,196.0
2023-10-12,198.0
2023-10-13,
2023-10-14,282.0
2023-10-15,335.0
2023-10-16,322.0
2023-10-17,204.0
2023-10-18,171.0
2023-10-19,174.0
2023-10-20,245.0
2023-10-21,269.0
2023-10-22,251.0
2023-10-23,257.0
2023-10-24,181.0
2023-10-25,192.0
2023-10-26,218.0
2023-10-27,237.0
2023-10-28,235.0
2023-10-29,267.0
2023-10-30,270.0
2023-10-31,199.0
2023-11-01,194.0
2023-11-02,162.0
2023-11-03,264.0
2023-11-04,316.0
2023-11-05,246.0
2023-11-06,233.0
2023-11-07,228.0
2023-11-08,155.0
2023-11-09,129.0
2023-11-10,278.0
2023-11-11,313.0
2023-11-12,248.0
